book_title,id,author,price,gender,published_ date,publisher,month,year
Canti,25,Giacomo Leopardi,35,male,12/12/11,"Farrar, Straus & Giroux",7,2011
The Cat's Table,26,Michael Ondaatje,26,male,12/12/11,Knopf,9,2011
Chango's Beads and Two-Tone Shoes,27,William Kennedy,28,male,12/12/11,Vicking,3,2011
Come On All You Ghosts,29,Matthew Zapruder,16,male,12/12/11,Copper Canyon ,6,2011
11/22/63,30,Stephen King,35,male,12/12/12,Scribner,5,2011
The Free World,31,David Bezmozgis,26,male,12/12/12,"Farrar, Straus & Giroux",5,2011
Ghost Lights,32,Lydia Millet,25,female,12/12/12,Norton,3,2011
Gryphon: New and Selected Stories,33,Charles Baxter,28,male,12/12/12,Pantheon,7,2011
House of Holes: A book of Raunch,34,Nicholson baker,25,male,12/12/12,Simon&Schuster,3,2011
The Last Werewolf,35,Glen Duncan,26,male,12/12/12,Knopf,3,2011
The Leftovers,36,Tom Perrotta,26,male,12/12/12,St. Martin's,7,2011
Life on Mars,37,Tracy K. Smith,15,female,12/12/12,Graywolf,4,2011
The London Train,38,Tessa Hadley,15,female,12/12/12,Harper Perennial,8,2011
"Long, Last, Happy: New and Selected Stories",39,barry Hannah,28,male,12/12/12,Grove,8,2011
Lost Memory of Skin,40,Russel Banks,26,male,12/12/12,Ecco/HarperCollins,6,2011
The Marriage Plot,41,Jeffrey Eugenides,28,male,12/12/12,"Farrar, Straus & Giroux",5,2011
A Moment in the Sun,41,John Sayles,29,male,12/12/12,McSweeney's,7,2011
Mr. Fox,42,Helen Oyeyemi,26,female,12/12/12,Riverhead,4,2011
My New American Life,43,Francine Prose,26,female,12/12/12,HarperCollins,6,2011
1Q84,44,Haruki Murakami,30,male,12/12/12,Knopf,3,2011
Open City,45,Teju Cole,35,male,12/12/12,Random House,2,2011
The Pale King: An Unfinished Novel ,46,David Foster Wallace,28,male,12/12/12,Little Brown,1,2011
Parallel Stories ,47,Peter Nadas,40,male,12/12/12,"Farrar, Straus & Giroux",5,2011
Say Her Name,48,Francisco Goldman,24,male,12/12/12,Grove,7,2011
Scenes from Villiage Life,49,Amos Oz,22,male,12/12/12,Houghton Mifflin Harcourt,3,2011
The Sense of an Ending,50,Julian Barnes,25,female,12/12/12,Knopf,4,2011
Seven Years,51,Peter Stamm,16,male,12/12/12,Knopf,6,2011
Shards,52,Ismet Prcic,15,male,12/12/12,Black Cat/Grove/Atlantic,2,2011
"Space, in Chains",53,Laura Kasischke,16,female,12/12/12,Copper Canyon ,6,2011
Stone Arabia,54,Dana Spiotta,24,female,12/12/12,Scribner,7,2011
The Stranger's Child,55,Alan Hollinghurt,28,male,12/12/12,Knopf,8,2011
The Submission ,56,Amy Waldman,26,female,12/12/12,"Farrar, Straus & Giroux",2,2011
Swamplandia!,57,Karen Russel,25,female,12/12/12,Knopf,6,2011
Taller When Prone: Poems,58,Les Murray,24,male,12/12/12,"Farrar, Straus & Giroux",8,2011
Ten Thousand Saints,59,Eleanor Henderson,27,female,12/12/12,Ecco/HarperCollins,3,2011
The Dinner,60,Herman Koch,24,male,12/12/12,Hogarth,5,2013
Dirty Love,61,Andre Dubs III,26,male,12/12/12,Norton,11,2013
Dissident Gardens,62,Johnathan Lethem,28,male,12/12/12,Norton,8,2013
Doctor Sleep,63,Stephen King,30,male,12/12/12,Scribner,6,2013
Duplex,64,Kathryn Davis,24,female,12/12/12,Graywolf,2,2013
The End Point,65,Elizabeth Graver,26,female,12/12/12,Harper,5,2013
The Flamethrowers,66,Rachel Kushner,27,female,12/12/12,Scribner,6,2013
The Goldsinch,67,Donna Tartt,30,female,12/12/12,Little Brown,12,2013
The Good Lord Bird,68,James McBride,28,male,12/12/12,Riverhead,10,2013
A Guide to Being Born: Stories,69,Ramona Ausubel,27,female,12/12/12,Riverhead,5,2013
Half the Kingdom,70,Lore Segal,24,female,12/12/12,Melville House,2,2013
I Want to Show You More: Stories,71,Jamie Quatro,24,male,12/12/12,Grove,6,2013
The Impossible Lives of Greta Wells,72,Andrew Sean Greer,27,male,12/12/12,Ecco/HarperCollins,2,2013
The Infatuations,73,Javier Marias,27,male,12/12/12,Knopf,5,2013
The Interestings,74,Meg Wolotzer,27,female,12/12/12,Riverhead,4,2013
Life After Life,75,Kate Atkinson,28,female,12/12/12,"Reagan Arthur/Little,Brown",7,2013
Local Souls: Novellas,76,Allan Gurganus,26,male,12/12/12,Liveright,8,2013
Longbourn,77,Jo Baker,26,female,12/12/12,Knopf,10,2013
"Love, Dishonor, Marry, Die, Cherish, Perish",78,David Rakoff,27,male,12/12/12,Doubleday,6,2013
The Lowland,79,Jhumpa Lahiri,28,female,12/12/12,Knopf,8,2013
The Luminaries,80,Eleannor Catton,27,female,12/12/12,Little Brown,9,2013
Maddaddam,81,Margaret Atwood,28,female,12/12/12,Little Brown,3,2013
A Marker to Measure Drift,82,Alexander Maksik,25,male,12/12/12,Knopf,5,2013
Metaphysical Dog,83,Frank Bidart,24,male,12/12/12,"Farrar, Straus & Giroux",3,2013
Our Andromeda,84,Brenda Shaughnessy,16,female,12/12/12,Copper Canyon ,8,2013
Schroder,85,Amity Gaige,22,female,12/12/12,Twelve,9,2013
The Signature of all Things,86,Elizabeth Gilbert,29,female,12/12/12,Viking,2,2013
Someone,87,Alice McDermott,25,female,12/12/12,"Farrar, Straus & Giroux",3,2013
The Son,88,Philipp Meyer,28,male,12/12/12,Ecco/HarperCollins,4,2013
The Sound of Falling,89,Juan Gabriel Vasquez,28,male,12/12/12,Riverhead,5,2013
Submergence ,70,J.M. Ledgard,16,male,12/12/12,Coffee House,6,2013
Subtle Bodies,71,Norman Rush,27,male,12/12/12,Knopf,6,2013
Tenth of December: Stories,72,George Saunders,26,male,12/12/12,Random House,7,2013
The Twelve Tribes of Hattie,73,Ayana Mathis,24,female,12/12/12,Knopf,8,2013
The Two Hotel Francforts,74,David Leavitt,25,male,12/12/12,Bloomsbury,8,2013
The Valley of Amazement,75,Amy Tan,30,female,12/12/12,Ecco/HarperCollins,9,2013
Want Not,76,Jonathn Miles,26,male,12/12/12,Houghton Mifflin Harcourt,2,2013
We Are All Completely Beside Ourselves,77,Karen Joy Fowler,27,female,12/12/12,Marian Wood/ Putnam,6,2013
We Need New Names,78,NoViolet Bulawayo,25,male,12/12/12,"Reagan Arthur/Little,Brown",6,2013
Woke Up Lonely,79,Fiona Maazel,26,female,12/12/12,Graywolf,5,2013
The Woman Upstairs,80,Claire Messud,26,female,12/12/12,Knopf,4,2013
This Beautiful Life,81,Helen Schulman,25,female,12/12/12,HarperCollins,6,2011
The Tiger's Wife,82,Tea Obreht,25,female,12/12/12,Random House,3,2011
The Tragedy of Arthur,83,Arthur Phillips,26,male,12/12/12,Random House,3,2011
Train Dreams ,84,Denis Johnson,18,male,12/12/12,"Farrar, Straus & Giroux",6,2011
Building Stories,85,Chris Ware,50,male,12/12/12,Pantheon,5,2012
By Blood,86,Ellen Ullman,27,female,12/12/12,"Farrar, Straus & Giroux",6,2012
Canada,87,Richard Ford,28,male,12/12/12,Ecco/HarperCollins,2,2012
Carry The One,88,Carol Anshaw,25,female,12/12/12,Simon&Schuster,7,2012
City of Bohane,89,Kevin Barry,25,male,12/12/12,Graywolf,3,2012
Collected Poems,90,Jack Gilbert,35,male,12/12/12,Knopf,8,2012
Dear Life: Stories,91,Alice Munro,27,female,12/12/12,Knopf,8,2012
The Devil in Silver,92,Victor LaValle,27,male,12/12/12,Spiegel&Grau,9,2012
Enchantments,93,Kathryn Harrison,27,female,12/12/12,Random House,3,2012
Flight Behavior,94,Barbara Kingsolver,29,female,12/12/12,HarperCollins,2,2012
Fobbit,95,David Abrams,15,male,12/12/12,Black Cat/Grove/Atlantic,6,2012
The Forgetting Tree,96,Tatjana Soli,26,male,12/12/12,St. Martin's,2,2012
Gathering of Waters,97,Bernice L. McFadden,25,male,12/12/12,Akashic,7,2012
Gods Without Men,98,Hari Kunzru,27,male,12/12/12,Knopf,6,2012
HHhH,99,Laurent Binet,28,male,12/12/12,"Farrar, Straus & Giroux",4,2012
A Hologram for the King,100,Dave Eggers,25,male,12/12/12,McSweeney's,2,2012
Home,101,Toni Morrison,24,female,12/12/12,Knopf,1,2012
Hope: A Tragedy,102,Shalom Auslauder,27,male,12/12/12,Riverhead,5,2012
How Should A Person Be?,103,Sheila Heti,25,female,12/12/12,Holt,6,2012
In One Person,104,John Irving,28,male,12/12/12,Simon&Schuster,3,2012
A Land More Kind Than Home,105,Wiley Cash,25,male,12/12/12,Marrow/HarperCollins,6,2012
Married Love: And Other Stories,106,Tessa Hadley,15,female,12/12/12,Harper Perennial,3,2012
NW,107,Zadie Smith,27,female,12/12/12,Penguin Press,4,2012
On The Spectrum Of Possible Deaths,108,Lucia Perillo,22,female,12/12/12,Copper Canyon ,8,2012
Pure,109,Julianna Baggott,26,female,12/12/12,Grand Central,7,2012
The Right-Hand Shore,110,Christopher Tilghman,27,male,12/12/12,"Farrar, Straus & Giroux",1,2012
The Round House,110,Louise Erdrich,28,female,12/12/12,HarperCollins,2,2012
Salvage The Bones,111,Jesmyn Ward,24,male,12/12/12,Bloomsbury,5,2012
San Miguel,112,T. Coraghessan Boyle,28,male,12/12/12,Viking,3,2012
Shine Shine Shine,113,Lydia Netzer,25,female,12/12/12,St. Martin's,2,2012
Shout Her Lovely Name,114,Natalie Serber,25,female,12/12/12,Houghton Mifflin Harcourt,9,2012
Silent House,115,Orphan Pamuk,27,male,12/12/12,Knopf,9,2012
The Starboard Sea,116,Amber Dermont,25,female,12/12/12,St. Martin's,8,2012
Sweet Tooth,117,Ian McEwan,27,male,12/12/12,Nan A Talese/Doubleday,7,2012
Swimming Home,118,Deborah Levy,14,female,12/12/12,Bloomsbury,2,2012
Telegraph Avenue,119,Michael Chabon,28,male,12/12/12,HarperCollins,3,2012
The Testament of Mary,120,Colm Toibin,20,male,12/12/12,Scribner,3,2012
This Is How You Lose Her,121,Junot Diaz,27,male,12/12/12,Riverhead,5,2012
Three Stron Women,122,Marie Ndiaye,26,female,12/12/12,Knopf,6,2012
Toby's Room,123,Pat Barker,26,male,12/12/12,Doubleday,2,2012
Watergate,124,Thomas Mallon,27,male ,12/12/12,Pantheon,5,2012
What We Talk About When We Talk About Anne Frank,125,Nathan Englander,25,male,12/12/12,Knopf,2,2012
The Yellow Birds,126,Kevin Powers,25,male,12/12/12,Little Brown,3,2012
"American Triumvirate:Sam Snead, Byron Nelson, Ben Hogan and the Modern Age of Golf",127,James Dodson,29,male,12/12/12,Knopf,4,2012
Barack Obama: The Story,128,David Maraniss,32,male,12/12/12,Simon&Schuster,2,2012
Belzoni: The Giant Archaeologists Love to Hate,129,Ivor Neol Hume,35,male,12/12/12,University of Virginia,6,2012
"The Black Count: Glory, Revolution, Betrayal and the Real Count of Monte Cristo",130,Tom Reiss,27,male,12/12/12,Crown,7,2012
"Coming Apart: The State of White America, 1960-2010",131,Charles Murray,27,male,12/12/12,Crown,3,2012
A Disposition To Be Rich,132,Geoffrey C. Ward,29,male,12/12/12,Knopf,8,2012
"Far From The Tree: Parents, Children and the Search for Identity",134,Andrew Solomon,38,male,12/12/12,Scribner,3,2012
Flagrant Conduct: The Story of Lawrence v. Texas,135,Dale carpenter,30,male,12/12/12,Norton,2,2012
The Folly of Fools,136,Robert Trivers,28,male ,12/12/12,Basic Books,2,2012
The Grey Album,137,Kevin Young,25,male,12/12/12,Graywolf,6,2012
Hati: The Aftershocks of History,138,Laurent dubois,32,male,12/12/12,Metropolitan/Holt,8,2012
How Children Succeed,139,Pauls Tough,27,male,12/12/12,Houghton Mifflin Harcourt,7,2012
How Music Works,140,David Byrne,32,male,12/12/12,McSweeney's,6,2012
"Kayak Morning:Reflections on Love, grief and Small Boats",141,Roger Rosenblatt,14,male,12/12/12,Ecco/HarperCollins,4,2012
Lincoln's Code:The laws of War in American History,142,John Fabian Witt,32,male,12/12/12,Free Press,4,2012
Oddly Normal,143,John Schwartz,26,male ,12/12/12,Gotham,2,2012
On A Farther Shore,145,William Souder,30,male,12/12/12,Crown,4,2012
The One: The Life and Music of James Brown,146,RJ Smith,29,male,12/12/12,Gotham,4,2012
The Passage of Power: The Years of Lydon Johnson,147,Robert A. Caro,35,male,12/12/12,Knopf,3,2012
The Patriarch,148,David Nasaw,40,male,12/12/12,Penguin Press,2,2012
People Who Eat Darkness: The True Story of a Young Woman Who Vanished From the Streets of Tokyo–and the Evil That Sawllowed Her Up,149,Richard Lyoyd Parray,16,male ,12/12/12,"Farrar, Straus & Giroux",1,2012
"Red Brick, Black Moutain, White Clay",150,Christopher Benfey,25,male,12/12/12,Penguin Press,4,2012
Rule and Ruin,151,Geoffrey Kabaservice,30,male,12/12/12,Oxford University,6,2012
"Shooting Victoria: Madness, Mayhem and the Rebirth of the British Monarchy",152,Paul Thomas Murphy,35,male,12/12/12,Pegasus,2,2012
Short Nights of the Shadow Catcher,153,Timothy Egan,28,male,12/12/12,Houghton Mifflin Harcourt,7,2012
The Social Conquest of Earth,154,Edward O Wilson ,28,male,12/12/12,Norton,9,2012
Spillover,155,Zakes Mda,35,male,12/12/12,"Farrar, Straus & Giroux",2,2012
Thomas Jefferson: The Art of Power,156,Jon Meacham,35,male ,12/12/12,Random House,8,2012
When God Talks Back,157,T.M. Luhrmann,29,male,12/12/12,Knopf,3,2012
Why Does the World Exist?,158,Jim Holt,28,male,12/12/12,Liveright/Norton,1,2012
After the Music Stopped,159,Alan S. Blinder,30,male ,12/12/12,Penguin Press,3,2013
The Barabarous Year ,160,Bernard Bailyn,35,male,12/12/12,Knopf,6,2013
The Blood Telegram,161,Gary J. Bass,30,male,12/12/12,Knopf,3,2013
The Boy Detective,162,Roger Rosenblatt,20,male,12/12/12,Ecco/HarperCollins,7,2013
The Cancer Chronicle,163,George Johnson,28,male,12/12/12,Knopf,2,2013
Catastrophe 1914: Europe Goes to War,164,Max Hastings,35,male,12/12/12,Knopf,8,2013
Command and Control,165,Eric Schlosser,36,male,12/12/12,Penguin Press,9,2013
Days of Fire: Bush and Cheney in the White House,166,Peter Baker,35,male,12/12/12,Doubleday,2,2013
"Ecstatic Nation: Confidence, Crisis and Compromise, 1848-1877",167,Brenda Wineapple,35,female,12/12/12,Harper,6,2013
Empress Dowager Cixi: The Concubine Who Launched Modern China,168,Jung Chan,30,male,12/12/12,Knopf,4,2013
"Going Clear: Scientology, Hollywood and the Prison of Belief",169,Lawrence Wright,29,male,12/12/12,Knopf,3,2013
The Guns At Last Light,170,Rick Atkinson,40,male,12/12/12,Holt,4,2013
Jonathan Swift: His Life and His World,171,Leo Damrosch,35,male,12/12/12,Yale University ,4,2013
Lawrence in Arabia,172,Scott Anderson,29,male,12/12/12,Doubleday,3,2013
Los Girls: An Unsolved American Mystery,173,Robert Kolker ,26,male,12/12/12,Harper,2,2013
Manson: the Life and Times of Charles Manson,174,Jeff Guinn,28,male,12/12/12,Simon&Schuster,9,2013
Men We Reaped: A Memoir,175,Jesmyn Ward,28,male,12/12/12,Bloomsbury,6,2013
My Promised Land: The Triumph and Tragedy of Isreal,176,Ari Shavit,28,male,12/12/12,Spiegel&Grau,4,2013
Patrick Leigh Fermor: An Adventure,177,Artemis Cooper,30,male,12/12/12,New Yorker Review Books,3,2013
The Skies Belong To Us,178,Brendan I. Koerner,26,male,12/12/12,Crown,5,2013
The Sleepwalkers,179,Christopher Clark,30,male,12/12/12,Harper,7,2013
Thank You For Your Service,180,David Finkel,26,male,12/12/12,"Farrar, Straus & Giroux",3,2013
The Third Coast,181,Thomas Dyja,30,male,12/12/12,Penguin Press,7,2013
This Town,182,Mark Leibovich,28,male ,12/12/12,Blue Rider,3,2013
To The End of June,183,Cris Beam ,26,male,12/12/12,Houghton Mifflin Harcourt,2,2013
Unthinkable,184,Kenneth M. Pollack,30,male,12/12/12,Simon&Schuster,7,2013
The Unwinding,185,George Parker,27,male,12/12/12,"Farrar, Straus & Giroux",9,2013
Wave,186,Sonali Deraniyagaka,24,male,12/12/12,Knopf,4,2013
Wild Ones,187,Jon Mooallem,28,male,12/12/12,Penguin Press,2,2013
Year Zero,188,Ian Buruma,30,male,12/12/12,Penguin Press,5,2013
